Title,Author,price,pages,Rating,star5,star4,star3,star2,star1,language,publisher,ISBN,contents
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist,[ Dr Dhaval Maheta],6.75,500,4.4,55%,39%,6%,,,English,"Notion Press Media Pvt Ltd (November 22, 2021)",978-1685549596,"Chapter 1: Getting Started with R

What is R?
Installing and Running R
R Objects and Data Types
R Operators
R Functions
Writing R Scripts
R Packages
Chapter 2: Data Manipulation

Importing and Exporting Data
Cleaning and Preparing Data
Creating New Variables
Transforming Data
Merging and Splitting Data
Chapter 3: Data Visualization

Basic R Graphics
Creating Plots with ggplot2
Statistical Plots
Geospatial Plots
Chapter 4: Statistical Analysis

Descriptive Statistics
Hypothesis Testing
Regression Analysis
Time Series Analysis
Classification and Clustering
Chapter 5: Machine Learning

Introduction to Machine Learning
Supervised Learning
Unsupervised Learning
Model Evaluation
Chapter 6: Data Science Projects

Project Planning
Data Exploration
Model Building
Model Deployment
Appendix A: R Commander

What is R Commander?
Using R Commander for Data Analysis
Appendix B: RStudio

What is RStudio?
Using RStudio for Data Analysis
Appendix C: R Packages

List of Useful R Packages"
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",,33.72,484,4.3,61%,20%,9%,4%,6%,English,"O'Reilly Media; 1st edition (August 18, 2009)",978-0596153939,"Part 1: Getting Started

Chapter 1: The Data Analysis Process
Chapter 2: Data Types and Data Structures
Chapter 3: Cleaning and Preparing Data
Chapter 4: Visualizing Data
Part 2: Descriptive Statistics

Chapter 5: Central Tendency and Dispersion
Chapter 6: Probability and Sampling Distributions
Chapter 7: Hypothesis Testing
Part 3: Inferential Statistics

Chapter 8: Correlation and Regression
Chapter 9: ANOVA and Chi-Square Tests
Chapter 10: Time Series Analysis
Part 4: Big Data Analysis

Chapter 11: NoSQL Databases and Hadoop
Chapter 12: Machine Learning and Data Mining
Part 5: Communicating Your Results

Chapter 13: Writing Data Analysis Reports
Chapter 14: Presenting Your Findings
Appendix A: R TutorialAppendix B: Python TutorialIndex"
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[ Oz du Soleil,  and , Bill Jelen]",32.07,274,4.7,87%,13%,,,,English,"Holy Macro! Books; Third edition (August 1, 2022)",978-1615470747,"Part I: Guerrilla Data Analysis Basics

Chapter 1: What is Guerrilla Data Analysis?
Chapter 2: Data Quality: The Foundation of GDA
Chapter 3: Excel Basics: A Crash Course
Chapter 4: Data Manipulation: Cleaning, Normalizing, and Transforming Data
Part II: Guerrilla Data Analysis Techniques

Chapter 5: PivotTables: The Swiss Army Knife of Data Analysis
Chapter 6: Power Query: The Next Generation of Data Transformation
Chapter 7: Dynamic Arrays: The Future of Data Analysis in Excel
Chapter 8: Conditional Formatting: Visualizing Your Data
Chapter 9: Charts and Graphs: Telling Your Story with Data
Part III: Guerrilla Data Analysis in Action

Chapter 10: Case Study 1: Analyzing Sales Data
Chapter 11: Case Study 2: Analyzing Financial Data
Chapter 12: Case Study 3: Analyzing Customer Data
Part IV: Guerrilla Data Analysis Survival Guide

Chapter 13: Guerrilla Data Analysis Tips and Tricks
Chapter 14: Excel Troubleshooting
Chapter 15: Data Science Resources
Appendix A: Excel Functions ReferenceAppendix B: Power Query Functions ReferenceAppendix C: Dynamic Arrays Functions ReferenceIndex"
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",[ William McKinney],53.99,547,4.6,75%,16%,5%,2%,2%,English,"O'Reilly Media; 2nd edition (November 14, 2017)",978-1491957660,"Preliminaries

Chapter 1: Python Language Basics, IPython, and Jupyter Notebooks
Chapter 2: Built-in Data Structures, Functions, and Files
NumPy

Chapter 3: NumPy Basics: Arrays and Vectorized Computation
Chapter 4: Advanced NumPy
Pandas

Chapter 5: Getting Started with Pandas
Chapter 6: Data Loading, Storage, and File Formats
Chapter 7: Data Cleaning and Preparation
Chapter 8: Data Wrangling: Join, Combine, and Reshape
Chapter 9: Plotting and Visualization
Chapter 10: Data Aggregation and Group Operations
Chapter 11: Time Series
Chapter 12: Advanced Pandas
Modeling Libraries in Python

Chapter 13: Introduction to Modeling Libraries in Python
Data Analysis Examples

Chapter 14: Data Analysis Examples
Appendices

Appendix A: Advanced NumPy
Appendix B: More on the IPython System"
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[ Paul McFedries],24.49,368,3.9,52%,17%,10%,10%,10%,English,"For Dummies; 5th edition (February 3, 2022)",978-1119844426,"Part I: Getting Started with Excel Data Analysis

Chapter 1: Introduction to Excel Data Analysis
Chapter 2: Preparing Your Data for Analysis
Chapter 3: Using Excel Functions to Analyze Your Data
Chapter 4: Creating Charts and Graphs to Visualize Your Data
Part II: Intermediate Excel Data Analysis

Chapter 5: Using PivotTables to Analyze Your Data
Chapter 6: Using Data Analysis Tools to Perform Advanced Analysis
Chapter 7: Using Macros to Automate Your Data Analysis
Part III: Advanced Excel Data Analysis

Chapter 8: Using Regression Analysis to Model Your Data
Chapter 9: Using Time Series Analysis to Forecast Your Data
Chapter 10: Using Data Mining Techniques to Uncover Hidden Insights in Your Data
Part IV: Sharing and Presenting Your Data Analysis Results

Chapter 11: Creating Data Analysis Reports
Chapter 12: Presenting Your Data Analysis Findings
Appendix A: Excel Functions ReferenceAppendix B: Data Analysis Tools ReferenceAppendix C: Macros ReferenceIndex"
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[ Cathy Tanimura],40.49,360,4.6,75%,18%,2%,2%,2%,English,"O'Reilly Media; 1st edition (October 5, 2021)",978-1492088783,"1. Analysis with SQL

What Is Data Analysis?
Why SQL?
SQL for Data Analysis
Key Concepts for Data Analysis
2. Preparing Your Data

Identifying Data Quality Issues
Cleaning and Transforming Data
Normalizing Data
Creating Views
3. Aggregate Functions

Basic Aggregate Functions
Advanced Aggregate Functions
Conditional Aggregation
Window Functions
4. Text Analysis

SQL Functions for Text Analysis
Regular Expressions
Common Text Analysis Tasks in SQL
5. Time Series Analysis

SQL Functions for Date and Time Manipulation
Common Time Series Analysis Tasks in SQL
6. Cohort Analysis

What Is Cohort Analysis?
Performing Cohort Analysis in SQL
7. Experiment Analysis

What Is Experiment Analysis?
Performing Experiment Analysis in SQL
8. Case Study: Analyzing a Retail Dataset

Loading the Data
Cleaning and Preparing the Data
Performing Data Analysis
Visualizing the Results
Appendix A: SQL Syntax Appendix B: SQL Functions Appendix C: Answers to Exercises"
Topological Data Analysis with Applications,"[ Gunnar Carlsson,  and , Mikael Vejdemo-Johansson]",54.19,230,5,100%,,,,,English,"Cambridge University Press; 1st edition (March 24, 2022)",978-1108838658,"Part I: Background

Introduction
Data
Part II: Theory

Topology
Shape of Data
Structures on Spaces of Barcodes
Part III: Practice

Case Studies
More Detailed Table of Contents:

Part I: Background

Chapter 1. Introduction
What is TDA?
Why TDA?
A Brief History of TDA
How to Use This Book
Chapter 2. Data
What Kind of Data Can TDA Be Used On?
Representing Data as Simplicial Complexes
Filtering Simplicial Complexes
Part II: Theory

Chapter 3. Topology
Basic Concepts in Topology
Homology
Persistent Homology
Chapter 4. Shape of Data
Persistence Diagrams
Bottleneck Distances
Mapper
Chapter 5. Structures on Spaces of Barcodes
Metric Spaces of Barcodes
Wasserstein Distances
Stability of Barcodes
Part III: Practice

Chapter 6. Case Studies
Human Brain Mapping
Material Science
Financial Data Analysis
Appendix

Glossary
Notation
Bibliography"
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",,20,333,4.5,73%,13%,7%,3%,3%,English,"University of Chicago Press (October 15, 2021)",978-0226806433,"Introduction: The Emergent Nature of the Research Process
Before You Begin: Dreaming and Thinking
Preparing: The Early Steps in a Study
Learning to Interview: What to Do before and after the Interview
How to Conduct a Good Interview: Dig Deep
Learning to Do Participant Observation: A Practical Guide
Writing High-Quality Field Notes: Details Matter
Data Analysis: Thinking as You Go
Writing: Becoming Clearer about Your Contribution
Conclusion: Why Interviews and Participant Observation Research Are Valuable"
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,[ Chad Knowles],15.97,106,4.9,91%,8%,1%,,,English,"Independently published (September 21, 2022)",979-8354008353,"Chapter 1: Understanding and Describing Data

What is SQL?
SQL Data Types
SQL Operators
SQL Functions
SQL Queries
SQL Subqueries
SQL Joins
Chapter 2: Data Preparation for Analysis

Importing and Exporting Data
Cleaning and Preparing Data
Creating New Variables
Transforming Data
Merging and Splitting Data
Chapter 3: Aggregate Functions for Data Analysis

COUNT()
SUM()
AVG()
MIN()
MAX()
GROUP BY
HAVING
Chapter 4: Window Functions for Data Analysis

ROW_NUMBER()
RANK()
DENSE_RANK()
LAG()
LEAD()
FIRST_VALUE()
LAST_VALUE()
Chapter 5: Analytics Using Complex Data Types

Geospatial Data
Time Data
JSON Data
Chapter 6: Performant SQL

Understanding Query Execution Plans
Optimizing Queries for Performance
Tuning SQL Queries
Chapter 7: Using SQL to Uncover the Truth - A Case Study

Data Preparation
Exploratory Data Analysis
Feature Engineering
Model Building
Model Evaluation
Appendix A: SQL Commands Appendix B: SQL Functions Appendix C: SQL Case StudiesIndex"
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",[ Walter Shields],24.99,249,4.6,72%,18%,7%,1%,2%,English,"ClydeBank Media LLC; Illustrated edition (November 18, 2019)",978-1945051753,"Introduction

What Is SQL?
Why Learn SQL?
What Will You Learn in This Book?
Chapter 1: Database Basics

What Is a Database?
Database Management Systems
Relational Databases
Relational Database Tables
Primary Keys and Foreign Keys
SQL Data Types
Chapter 2: Your First SQL Query

The SELECT Statement
Retrieving Data from a Single Table
Retrieving Data from Multiple Tables
Using Operators and Expressions
Sorting and Filtering Data
Chapter 3: Data Manipulation

The INSERT Statement
The UPDATE Statement
The DELETE Statement
Transactions
Chapter 4: Data Analysis

Aggregate Functions
Grouping and Ordering Data
Subqueries
Common SQL Functions
Chapter 5: Advanced SQL

Views
Joins
Window Functions
Triggers
Stored Procedures
Chapter 6: SQL for Big Data

Hadoop Hive
Apache Spark
SQL on Cloud Platforms
Chapter 7: Career Opportunities in SQL

SQL and Data Science
SQL and Business Intelligence
SQL and Web Development
SQL and Database Administration
Appendix A: SQL Syntax Appendix B: SQL Functions Appendix C: Answers to Exercises"
